,R,G,B
0,92.96428571428571,132.89285714285714,199.64285714285717
1,11.529411764705827,41.82352941176471,137.58823529411765
2,166.91176470588235,45.41176470588236,36.79411764705884
3,243.2222222222222,237.75555555555553,235.2444444444444
4,230.80555555555554,14.5,39.388888888888914
5,223.09523809523807,97.83333333333333,65.97619047619048
6,242.62790697674416,213.7674418604651,181.00000000000003
7,194.65714285714284,35.8857142857143,111.77142857142857
8,238.33333333333331,230.38888888888886,9.805555555555571
9,241.10714285714283,133.17857142857142,10.92857142857143
10,164.32142857142858,122.5,190.82142857142858
11,170.83333333333334,185.1,111.7
12,234.36363636363635,128.1818181818182,139.04545454545456
13,138.8695652173913,106.15217391304347,112.02173913043478
14,117.1923076923077,12.615384615384627,15.807692307692307
15,12.249999999999972,81.44444444444443,35.750000000000014
16,145.94117647058823,131.7058823529412,17.705882352941174
17,14.411764705882348,206.70588235294116,229.11764705882354
18,159.84615384615384,215.5897435897436,212.53846153846155
19,86.78431372549016,69.58823529411765,64.94117647058826
20,241.49999999999997,201.8235294117647,94.88235294117648
21,10.249999999999972,104.57142857142857,194.57142857142858
22,146.0,10.111111111111128,238.5
23,59.89999999999998,242.89999999999998,9.299999999999997
24,233.9032258064516,150.90322580645162,225.96774193548387
25,250.05882352941174,22.705882352941174,178.3529411764706
26,2.1999999999999886,236.39999999999998,128.4
27,28.85185185185182,157.03703703703704,117.18518518518519
28,255.0,255.0,255.0
29,0.0,0.0,0.0
