,R,G,B,main_cluster
0,92.34615384615384,133.8846153846154,203.38461538461542,
1,7.566666666666663,42.866666666666674,138.8,
2,178.44117647058823,34.55882352941177,34.73529411764707,
3,245.70454545454544,237.79545454545456,235.5681818181818,
4,227.51612903225805,15.419354838709694,60.8709677419355,
5,149.66666666666666,111.05555555555556,16.888888888888914,
6,239.24444444444444,208.48888888888888,187.66666666666669,
7,248.85714285714286,157.71428571428572,4.952380952380949,
8,165.28,121.96,194.24,
9,135.1818181818182,219.1818181818182,21.454545454545453,
10,221.6153846153846,141.57692307692307,134.46153846153845,
11,158.125,100.5,103.21875,
12,124.33333333333334,12.250000000000028,15.083333333333329,
13,10.399999999999977,121.66666666666667,27.533333333333346,
14,10.214285714285722,220.78571428571428,228.14285714285714,
15,162.64285714285714,214.92857142857142,233.82142857142858,
16,89.29545454545453,72.63636363636363,62.250000000000014,
17,238.85185185185185,222.25925925925924,111.70370370370371,
18,142.20833333333334,208.58333333333331,145.91666666666666,
19,232.34615384615384,163.07692307692307,68.46153846153847,
20,240.27586206896552,235.48275862068965,10.137931034482762,
21,110.0,114.85714285714286,128.8095238095238,
22,8.772727272727252,134.45454545454544,187.63636363636363,
23,22.178571428571416,49.96428571428572,41.71428571428574,
24,220.34285714285713,93.8,65.34285714285716,
25,20.72727272727272,68.18181818181819,216.27272727272728,
26,22.041666666666657,152.08333333333334,119.5,
27,132.73333333333335,12.13333333333334,235.20000000000002,
28,117.86666666666667,28.400000000000006,114.53333333333333,
29,234.10714285714283,140.53571428571428,223.64285714285714,
30,227.5151515151515,42.87878787878789,133.96969696969697,
31,242.21428571428572,59.42857142857143,2.0714285714285836,
32,18.399999999999977,240.0,46.5,
33,234.77777777777777,10.555555555555571,231.22222222222223,
34,255.0,255.0,255.0,34.0
35,0.0,0.0,0.0,34.0
